Place_ID X Date,target
0OS9LVX X 2020-01-02,59.15112
0OS9LVX X 2020-01-03,56.86781
0OS9LVX X 2020-01-04,50.169907
0OS9LVX X 2020-01-05,60.24008
0OS9LVX X 2020-01-06,46.13642
0OS9LVX X 2020-01-07,57.55244
0OS9LVX X 2020-01-08,61.904934
0OS9LVX X 2020-01-09,60.88228
0OS9LVX X 2020-01-10,63.238888
0OS9LVX X 2020-01-11,60.724583
0OS9LVX X 2020-01-12,79.372475
0OS9LVX X 2020-01-13,76.48965
0OS9LVX X 2020-01-14,64.8625
0OS9LVX X 2020-01-15,74.14912
0OS9LVX X 2020-01-16,59.809147
0OS9LVX X 2020-01-17,62.85249
0OS9LVX X 2020-01-18,55.866947
0OS9LVX X 2020-01-19,45.864628
0OS9LVX X 2020-01-20,57.674892
0OS9LVX X 2020-01-21,64.49602
0OS9LVX X 2020-01-22,56.302723
0OS9LVX X 2020-01-23,61.002518
0OS9LVX X 2020-01-24,48.367092
0OS9LVX X 2020-01-25,63.87118
0OS9LVX X 2020-01-26,50.593945
0OS9LVX X 2020-01-27,59.58119
0OS9LVX X 2020-01-28,62.42165
0OS9LVX X 2020-01-29,61.96793
0OS9LVX X 2020-01-30,58.585777
0OS9LVX X 2020-01-31,42.47242
0OS9LVX X 2020-02-01,61.690426
0OS9LVX X 2020-02-02,75.336044
0OS9LVX X 2020-02-03,50.766964
0OS9LVX X 2020-02-04,60.035538
0OS9LVX X 2020-02-05,41.233723
0OS9LVX X 2020-02-06,56.649853
0OS9LVX X 2020-02-07,58.907993
0OS9LVX X 2020-02-08,54.077404
0OS9LVX X 2020-02-09,61.161297
0OS9LVX X 2020-02-10,58.389187
0OS9LVX X 2020-02-11,61.57861
0OS9LVX X 2020-02-12,58.956337
0OS9LVX X 2020-02-13,67.97594
0OS9LVX X 2020-02-14,50.743763
0OS9LVX X 2020-02-15,39.98562
0OS9LVX X 2020-02-16,51.953846
0OS9LVX X 2020-02-17,59.851383
0OS9LVX X 2020-02-18,71.19476
0OS9LVX X 2020-02-19,53.06171
0OS9LVX X 2020-02-20,52.713802
0OS9LVX X 2020-02-21,49.21077
0OS9LVX X 2020-02-22,53.532925
0OS9LVX X 2020-02-23,60.126896
0OS9LVX X 2020-02-24,55.645283
0OS9LVX X 2020-02-25,47.679787
0OS9LVX X 2020-02-26,47.975094
0OS9LVX X 2020-02-27,52.71832
0OS9LVX X 2020-02-28,68.02968
0OS9LVX X 2020-02-29,74.45
0OS9LVX X 2020-03-01,66.41287
0OS9LVX X 2020-03-02,59.884785
0OS9LVX X 2020-03-03,57.773876
0OS9LVX X 2020-03-04,61.601955
0OS9LVX X 2020-03-05,74.08079
0OS9LVX X 2020-03-06,60.663944
0OS9LVX X 2020-03-07,73.75075
0OS9LVX X 2020-03-08,58.474888
0OS9LVX X 2020-03-09,57.548717
0OS9LVX X 2020-03-10,65.46968
0OS9LVX X 2020-03-11,61.610317
0OS9LVX X 2020-03-12,49.63119
0OS9LVX X 2020-03-13,64.53045
0OS9LVX X 2020-03-14,47.305202
0OS9LVX X 2020-03-15,51.41332
0OS9LVX X 2020-03-16,58.336647
0OS9LVX X 2020-03-17,56.147045
0OS9LVX X 2020-03-18,56.68909
0OS9LVX X 2020-03-19,58.638683
0OS9LVX X 2020-03-20,49.14225
0OS9LVX X 2020-03-21,61.410984
0OS9LVX X 2020-03-22,55.02762
0OS9LVX X 2020-03-23,62.655468
0OS9LVX X 2020-03-24,60.813393
0OS9LVX X 2020-03-25,51.3907
0OS9LVX X 2020-03-26,55.6375
0OS9LVX X 2020-03-27,56.735535
0OS9LVX X 2020-03-28,71.40551
0OS9LVX X 2020-03-29,60.182064
0OS9LVX X 2020-03-30,55.86826
0OS9LVX X 2020-03-31,46.620735
0OS9LVX X 2020-04-01,51.858692
0OS9LVX X 2020-04-02,52.11459
0OS9LVX X 2020-04-03,63.081593
0OS9LVX X 2020-04-04,49.472675
0Q2LTOG X 2020-01-02,114.906
0Q2LTOG X 2020-01-03,103.28821
0Q2LTOG X 2020-01-04,133.98273
0Q2LTOG X 2020-01-05,97.06758
0Q2LTOG X 2020-01-06,95.38949
0Q2LTOG X 2020-01-07,48.911427
0Q2LTOG X 2020-01-08,89.01444
0Q2LTOG X 2020-01-09,130.45601
0Q2LTOG X 2020-01-10,137.97353
0Q2LTOG X 2020-01-11,134.33249
0Q2LTOG X 2020-01-12,116.79417
0Q2LTOG X 2020-01-13,92.97855
0Q2LTOG X 2020-01-14,160.29022
0Q2LTOG X 2020-01-15,117.49966
0Q2LTOG X 2020-01-16,110.44005
0Q2LTOG X 2020-01-17,78.15721
0Q2LTOG X 2020-01-18,114.45747
0Q2LTOG X 2020-01-19,167.79282
0Q2LTOG X 2020-01-20,145.4307
0Q2LTOG X 2020-01-21,102.0072
0Q2LTOG X 2020-01-22,122.580414
0Q2LTOG X 2020-01-23,131.06027
0Q2LTOG X 2020-01-24,82.38933
0Q2LTOG X 2020-01-25,98.59076
0Q2LTOG X 2020-01-26,121.37842
0Q2LTOG X 2020-01-27,48.375546
0Q2LTOG X 2020-01-28,61.963886
0Q2LTOG X 2020-01-29,96.85602
0Q2LTOG X 2020-01-30,108.26398
0Q2LTOG X 2020-01-31,137.42159
0Q2LTOG X 2020-02-01,131.19458
0Q2LTOG X 2020-02-02,155.6266
0Q2LTOG X 2020-02-03,82.4314
0Q2LTOG X 2020-02-04,68.32474
0Q2LTOG X 2020-02-05,80.773636
0Q2LTOG X 2020-02-06,71.03065
0Q2LTOG X 2020-02-07,98.43805
0Q2LTOG X 2020-02-08,127.14415
0Q2LTOG X 2020-02-09,100.13819
0Q2LTOG X 2020-02-10,121.866875
0Q2LTOG X 2020-02-11,98.527336
0Q2LTOG X 2020-02-12,65.2257
0Q2LTOG X 2020-02-13,119.3885
0Q2LTOG X 2020-02-14,130.13799
0Q2LTOG X 2020-02-15,110.96584
0Q2LTOG X 2020-02-16,48.990223
0Q2LTOG X 2020-02-17,34.274776
0Q2LTOG X 2020-02-18,66.24218
0Q2LTOG X 2020-02-19,94.609024
0Q2LTOG X 2020-02-20,142.54927
0Q2LTOG X 2020-02-21,93.296394
0Q2LTOG X 2020-02-22,86.5889
0Q2LTOG X 2020-02-23,65.60458
0Q2LTOG X 2020-02-24,73.764015
0Q2LTOG X 2020-02-25,78.61573
0Q2LTOG X 2020-02-26,92.74349
0Q2LTOG X 2020-02-27,87.77147
0Q2LTOG X 2020-02-28,130.87381
0Q2LTOG X 2020-02-29,76.10414
0Q2LTOG X 2020-03-01,87.46812
0Q2LTOG X 2020-03-02,79.38577
0Q2LTOG X 2020-03-03,91.33961
