Place_ID X Date,target
0OS9LVX X 2020-01-02,77.63
0OS9LVX X 2020-01-03,42.506
0OS9LVX X 2020-01-04,47.251000000000005
0OS9LVX X 2020-01-05,53.65
0OS9LVX X 2020-01-06,41.19
0OS9LVX X 2020-01-07,39.56
0OS9LVX X 2020-01-08,42.288999999999994
0OS9LVX X 2020-01-09,48.78
0OS9LVX X 2020-01-10,52.86
0OS9LVX X 2020-01-11,49.49
0OS9LVX X 2020-01-12,35.44
0OS9LVX X 2020-01-13,46.76
0OS9LVX X 2020-01-14,73.048
0OS9LVX X 2020-01-15,45.45
0OS9LVX X 2020-01-16,53.13
0OS9LVX X 2020-01-17,31.66
0OS9LVX X 2020-01-18,36.9
0OS9LVX X 2020-01-19,38.17
0OS9LVX X 2020-01-20,44.66
0OS9LVX X 2020-01-21,41.59
0OS9LVX X 2020-01-22,43.26
0OS9LVX X 2020-01-23,42.352
0OS9LVX X 2020-01-24,52.14
0OS9LVX X 2020-01-25,67.73
0OS9LVX X 2020-01-26,48.408
0OS9LVX X 2020-01-27,52.8
0OS9LVX X 2020-01-28,59.45
0OS9LVX X 2020-01-29,59.22
0OS9LVX X 2020-01-30,55.55
0OS9LVX X 2020-01-31,27.07
0OS9LVX X 2020-02-01,40.22
0OS9LVX X 2020-02-02,46.18
0OS9LVX X 2020-02-03,53.34
0OS9LVX X 2020-02-04,69.45
0OS9LVX X 2020-02-05,49.49
0OS9LVX X 2020-02-06,51.31
0OS9LVX X 2020-02-07,58.99
0OS9LVX X 2020-02-08,52.118
0OS9LVX X 2020-02-09,61.34
0OS9LVX X 2020-02-10,42.62
0OS9LVX X 2020-02-11,52.44
0OS9LVX X 2020-02-12,46.7
0OS9LVX X 2020-02-13,44.19
0OS9LVX X 2020-02-14,63.24
0OS9LVX X 2020-02-15,57.56
0OS9LVX X 2020-02-16,46.73
0OS9LVX X 2020-02-17,56.88
0OS9LVX X 2020-02-18,48.32
0OS9LVX X 2020-02-19,52.97
0OS9LVX X 2020-02-20,64.346
0OS9LVX X 2020-02-21,65.3
0OS9LVX X 2020-02-22,48.87
0OS9LVX X 2020-02-23,48.54
0OS9LVX X 2020-02-24,45.702999999999996
0OS9LVX X 2020-02-25,61.147000000000006
0OS9LVX X 2020-02-26,61.21
0OS9LVX X 2020-02-27,55.84
0OS9LVX X 2020-02-28,46.65
0OS9LVX X 2020-02-29,44.13
0OS9LVX X 2020-03-01,54.78
0OS9LVX X 2020-03-02,68.86
0OS9LVX X 2020-03-03,50.98
0OS9LVX X 2020-03-04,55.71
0OS9LVX X 2020-03-05,55.16299999999999
0OS9LVX X 2020-03-06,49.251000000000005
0OS9LVX X 2020-03-07,63.089
0OS9LVX X 2020-03-08,48.05099999999999
0OS9LVX X 2020-03-09,63.81
0OS9LVX X 2020-03-10,59.92
0OS9LVX X 2020-03-11,68.76
0OS9LVX X 2020-03-12,74.81
0OS9LVX X 2020-03-13,39.660999999999994
0OS9LVX X 2020-03-14,65.45
0OS9LVX X 2020-03-15,54.26
0OS9LVX X 2020-03-16,38.32599999999999
0OS9LVX X 2020-03-17,56.07
0OS9LVX X 2020-03-18,66.98
0OS9LVX X 2020-03-19,52.70400000000001
0OS9LVX X 2020-03-20,55.31
0OS9LVX X 2020-03-21,64.58
0OS9LVX X 2020-03-22,56.47
0OS9LVX X 2020-03-23,50.39
0OS9LVX X 2020-03-24,58.73
0OS9LVX X 2020-03-25,54.61
0OS9LVX X 2020-03-26,47.75
0OS9LVX X 2020-03-27,68.01
0OS9LVX X 2020-03-28,87.22
0OS9LVX X 2020-03-29,92.55
