Place_ID X Date,target
0OS9LVX X 2020-01-02,42.6
0OS9LVX X 2020-01-03,47.8
0OS9LVX X 2020-01-04,44.7
0OS9LVX X 2020-01-05,34.3
0OS9LVX X 2020-01-06,37.4
0OS9LVX X 2020-01-07,41.5
0OS9LVX X 2020-01-08,50.7
0OS9LVX X 2020-01-09,49.2
0OS9LVX X 2020-01-10,51.7
0OS9LVX X 2020-01-11,45.6
0OS9LVX X 2020-01-12,47.3
0OS9LVX X 2020-01-13,64.0
0OS9LVX X 2020-01-14,35.6
0OS9LVX X 2020-01-15,76.0
0OS9LVX X 2020-01-16,51.0
0OS9LVX X 2020-01-17,62.6
0OS9LVX X 2020-01-18,46.3
0OS9LVX X 2020-01-19,39.1
0OS9LVX X 2020-01-20,36.79
0OS9LVX X 2020-01-21,36.6
0OS9LVX X 2020-01-22,59.7
0OS9LVX X 2020-01-23,37.3
0OS9LVX X 2020-01-24,39.2
0OS9LVX X 2020-01-25,35.61
0OS9LVX X 2020-01-26,31.2
0OS9LVX X 2020-01-27,33.7
0OS9LVX X 2020-01-28,49.2
0OS9LVX X 2020-01-29,38.9
0OS9LVX X 2020-01-30,55.4
0OS9LVX X 2020-01-31,59.0
0OS9LVX X 2020-02-01,51.9
0OS9LVX X 2020-02-02,53.9
0OS9LVX X 2020-02-03,64.5
0OS9LVX X 2020-02-04,48.3
0OS9LVX X 2020-02-05,41.9
0OS9LVX X 2020-02-06,52.8
0OS9LVX X 2020-02-07,55.8
0OS9LVX X 2020-02-08,51.5
0OS9LVX X 2020-02-09,33.7
0OS9LVX X 2020-02-10,41.8
0OS9LVX X 2020-02-11,46.2
0OS9LVX X 2020-02-12,59.5
0OS9LVX X 2020-02-13,50.5
0OS9LVX X 2020-02-14,28.0
0OS9LVX X 2020-02-15,29.1
0OS9LVX X 2020-02-16,51.7
0OS9LVX X 2020-02-17,33.6
0OS9LVX X 2020-02-18,32.7
0OS9LVX X 2020-02-19,47.9
0OS9LVX X 2020-02-20,32.4
0OS9LVX X 2020-02-21,31.4
0OS9LVX X 2020-02-22,54.3
0OS9LVX X 2020-02-23,31.7
0OS9LVX X 2020-02-24,34.4
0OS9LVX X 2020-02-25,24.0
0OS9LVX X 2020-02-26,26.6
0OS9LVX X 2020-02-27,40.8
0OS9LVX X 2020-02-28,43.8
0OS9LVX X 2020-02-29,42.7
0OS9LVX X 2020-03-01,41.2
0OS9LVX X 2020-03-02,23.2
0OS9LVX X 2020-03-03,33.4
0OS9LVX X 2020-03-04,65.6
0OS9LVX X 2020-03-05,73.0
0OS9LVX X 2020-03-06,55.4
0OS9LVX X 2020-03-07,58.3
0OS9LVX X 2020-03-08,40.9
0OS9LVX X 2020-03-09,43.5
0OS9LVX X 2020-03-10,51.3
0OS9LVX X 2020-03-11,39.0
0OS9LVX X 2020-03-12,26.0
0OS9LVX X 2020-03-13,32.2
0OS9LVX X 2020-03-14,39.5
0OS9LVX X 2020-03-15,42.0
0OS9LVX X 2020-03-16,48.9
0OS9LVX X 2020-03-17,34.6
0OS9LVX X 2020-03-18,36.6
0OS9LVX X 2020-03-19,27.8
0OS9LVX X 2020-03-20,29.5
0OS9LVX X 2020-03-21,29.0
0OS9LVX X 2020-03-22,35.0
0OS9LVX X 2020-03-23,49.6
0OS9LVX X 2020-03-24,46.4
0OS9LVX X 2020-03-25,65.7
0OS9LVX X 2020-03-26,55.9
0OS9LVX X 2020-03-27,32.2
0OS9LVX X 2020-03-28,51.2
0OS9LVX X 2020-03-29,59.0
0OS9LVX X 2020-03-30,60.6
0OS9LVX X 2020-03-31,53.8
0OS9LVX X 2020-04-01,79.8
0OS9LVX X 2020-04-02,34.9
0OS9LVX X 2020-04-03,61.5
0OS9LVX X 2020-04-04,73.4
0Q2LTOG X 2020-01-02,87.9
0Q2LTOG X 2020-01-03,114.2
0Q2LTOG X 2020-01-04,145.9
0Q2LTOG X 2020-01-05,116.9
0Q2LTOG X 2020-01-06,163.2
0Q2LTOG X 2020-01-07,135.1
0Q2LTOG X 2020-01-08,56.2
0Q2LTOG X 2020-01-09,118.9
0Q2LTOG X 2020-01-10,139.3
0Q2LTOG X 2020-01-11,112.0
0Q2LTOG X 2020-01-12,104.7
0Q2LTOG X 2020-01-13,88.0
0Q2LTOG X 2020-01-14,207.3
0Q2LTOG X 2020-01-15,97.4
0Q2LTOG X 2020-01-16,125.1
0Q2LTOG X 2020-01-17,162.2
0Q2LTOG X 2020-01-18,101.9
0Q2LTOG X 2020-01-19,132.1
0Q2LTOG X 2020-01-20,177.6
0Q2LTOG X 2020-01-21,99.7
0Q2LTOG X 2020-01-22,200.1
0Q2LTOG X 2020-01-23,133.8
0Q2LTOG X 2020-01-24,77.8
0Q2LTOG X 2020-01-25,125.9
0Q2LTOG X 2020-01-26,131.6
0Q2LTOG X 2020-01-27,163.6
0Q2LTOG X 2020-01-28,84.7
0Q2LTOG X 2020-01-29,104.2
0Q2LTOG X 2020-01-30,123.9
0Q2LTOG X 2020-01-31,144.1
0Q2LTOG X 2020-02-01,107.1
0Q2LTOG X 2020-02-02,148.0
0Q2LTOG X 2020-02-03,110.1
0Q2LTOG X 2020-02-04,56.3
0Q2LTOG X 2020-02-05,71.5
0Q2LTOG X 2020-02-06,53.3
0Q2LTOG X 2020-02-07,68.4
0Q2LTOG X 2020-02-08,75.5
0Q2LTOG X 2020-02-09,61.5
0Q2LTOG X 2020-02-10,104.1
0Q2LTOG X 2020-02-11,117.7
0Q2LTOG X 2020-02-12,93.2
0Q2LTOG X 2020-02-13,73.7
0Q2LTOG X 2020-02-14,102.8
0Q2LTOG X 2020-02-15,122.1
0Q2LTOG X 2020-02-16,68.5
0Q2LTOG X 2020-02-17,35.4
0Q2LTOG X 2020-02-18,103.9
0Q2LTOG X 2020-02-19,111.0
0Q2LTOG X 2020-02-20,114.5
0Q2LTOG X 2020-02-21,116.6
0Q2LTOG X 2020-02-22,58.4
0Q2LTOG X 2020-02-23,76.5
0Q2LTOG X 2020-02-24,70.5
0Q2LTOG X 2020-02-25,63.2
0Q2LTOG X 2020-02-26,53.6
0Q2LTOG X 2020-02-27,105.0
0Q2LTOG X 2020-02-28,119.3
0Q2LTOG X 2020-02-29,99.0
0Q2LTOG X 2020-03-01,79.3
0Q2LTOG X 2020-03-02,79.1
0Q2LTOG X 2020-03-03,101.1
0Q2LTOG X 2020-03-04,62.4
0Q2LTOG X 2020-03-05,110.5
0Q2LTOG X 2020-03-06,123.9
0Q2LTOG X 2020-03-07,137.8
0Q2LTOG X 2020-03-08,107.2
0Q2LTOG X 2020-03-09,152.9
0Q2LTOG X 2020-03-10,100.3
0Q2LTOG X 2020-03-11,44.5
0Q2LTOG X 2020-03-12,56.6
0Q2LTOG X 2020-03-13,40.3
0Q2LTOG X 2020-03-14,78.0
0Q2LTOG X 2020-03-15,43.3
0Q2LTOG X 2020-03-16,96.6
0Q2LTOG X 2020-03-17,95.3
0Q2LTOG X 2020-03-18,88.4
0Q2LTOG X 2020-03-19,63.0
0Q2LTOG X 2020-03-20,80.2
0Q2LTOG X 2020-03-21,113.6
0Q2LTOG X 2020-03-22,52.9
0Q2LTOG X 2020-03-23,71.9
0Q2LTOG X 2020-03-24,124.1
0Q2LTOG X 2020-03-25,118.4
0Q2LTOG X 2020-03-26,60.7
0Q2LTOG X 2020-03-27,76.5
0Q2LTOG X 2020-03-28,87.7
0Q2LTOG X 2020-03-29,84.4
